id,datetime,neighborhood,rent,br,ba,sqft,housingType,laundry,parking,cats,dogs,furnished,title,description,link
11,2021-06-04 18:41:00,Mission District,1535,0,1.0,261.0,apartment,laundry on site,detached garage,yes,yes,no,EFFECTIVE RENT $1535 AVAILABLE IN JUNE ALL UTILITIES INCLUDED,"Welcome to 1825 Mission ApartmentsWelcome to a new standard of apartment home living at 1825 Mission. Our community is situated in San Francisco, California. Our location in the Mission District places you just minutes from a fantastic selection of restaurants, shopping, and entertainment options. The heart of the city is at your doorstep with easy access to BART, MUNI, and Interstate 101. Experience the exciting opportunities San Francisco has to offer at 1825 Mission.Community Amenities:Parking AvailablePart-time Courtesy PatrolPicnic Area with BarbecuePublic Parks NearbyState-of-the-art Fitness CenterTheater RoomApartment Amenities:Granite CountertopsMicrowaveNewly Renovated InteriorsRefrigeratorStainless Steel AppliancesViews AvailablePet PolicyLooking for a pet-friendly apartment community in San Francisco, CA? Look no further than 1825 Mission! As a pet-friendly community, we proudly allow cats and dogs here at 1825 Mission. Now your pet can relax by your side and enjoy the comforts of your apartment home.Pets Welcome Upon Approval.Call Us Today!  show contact info*Pricing and availability are subject to change daily. Photos may not be of the exact advertised unit. Please contact us today for the most up to date information! ",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-effective-rent-1535/7323642115.html
12,2021-06-04 18:39:00,SOMA / South Beach,4575,1,1.0,647.0,apartment,w/d in unit,valet parking,yes,yes,no,Lease today! No extra charge for contentment and relaxation.,"All Of San Francisco. In One Address. 33 Tehama is an iconic new residence in the heart of SoMa in San Francisco. With one-bedroom, two-bedroom, and penthouse apartments, it brings truly cosmopolitan living, sophisticated design, and unrivaled amenities to one of the most connected, walkable, and cultured locations in the city, and beyond. At this time our team is available to schedule a self-guided on-site tour after a personalized virtual tour has been taken. Please call us for more information!This unit is a rental unit subject to the San Francisco Rent Ordinance, which limits evictions without just cause, and which states that any waiver by a tenant of their rights under the Rent Ordinance is void as contrary to public policy.  Call Now:  show contact info x 72OR Text 72 to  show contact info to text us.Want more info? See the link below:http://cl.greystar.com/x61691 This is a 1 Bedroom, 1 Bath, approximately 647 Sq. Ft. Features - Artistic bespoke lighting*  - Integrated dishwasher by Blomberg  - Outdoor dining patio*  - Smart home features  - Hardwood plank flooring  - Plush bedroom carpeting  - Faucets and fixtures by Hansgrohe  - Gas range by Fisher Paykel  - Expansive bay views*  - Marble and exotic wood*  - Quartz slab countertops  - Panoramic view terrace*  - Washer and dryer by Electrolux  - Italian cabinetry in gloss white  - Intimate fireplace*  - Floor-to-ceiling windows  - Built-in roller shades  - Keyless entry  - Integrated refrigerator by Blomberg  - Air conditioning Community Amenities - Private grilling areas*  - No Smoking  - Club-level gym with on-demand workouts*  - Chef's kitchen and bar*  - The Hub – Amazon package locker system  - Onsite concierge services  - Open-air hot tub*  - Outdoor fitness area*  - Nordic-inspired sauna and steam rooms*  - Pet Spa  - Group fitness, yoga and spin studio*  - Solarium with entertainment area*  - Private dining and media dens*  - Hello Alfred services  - Gigabit Ethernet and WiFi  - Resident library*  - Skyline bocce court*  - Valet parking  - Wellness lounge and terrace*  - Tech café*  - Cozy fire pits* *Available on some levels Office Hours Monday-Sunday:9:00AM-6:00PM33 Tehama 33 Tehama, San Francisco, CA, 94105Equal Housing Opportunity This unit is a rental unit subject to the San Francisco Rent Ordinance, which limits evictions without just cause, and which states that any waiver by a tenant of their rights under the Rent Ordinance is void as contrary to public policy. yL58dD2wpxJ ",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-lease-today-no-extra/7331966584.html
13,2021-06-04 18:39:00,Potrero Hill,3075,2,1.0,,flat,w/d hookups,street parking,no,no,no,Lower flat Potrero Hill  Large with yard,"Large lower flat available.  Accepting applications now.This is an unique piece of rental available. It is a lower flat with 2 bedrooms, bath,  large living room dining room and kitchen.  Kitchen has back door to private back yard.  Back yard is against Starr King open space. Entire unit has new interior paint.Kitchen has new flooring , stove and refrigerator.Bedrooms have new windows, and  new traffic master wood type flooring. One bedroom has new mirror closet doors and light.Large living room dining room has new refinished hardwood floors and new base boards and lightBathroom has new paint, base board and tub shower combo has been refinished. New vanity and faucet2 new exterior lightsViews of Twin Peaks out front doorWasher and Dryer hook up will be 25.00 mo extra ( tenant supplies their own appliances)Tenant responsible for part water and garbage and for their own pge and cable/ internetNo pets.Plenty of street parking right outside unit. Up street from  SF hospital.Will require ID, credit report and proof of income.Accepting applications , email for open house date and time.",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-lower-flat-potrero-hill/7331978341.html
14,2021-06-04 18:38:00,Mission District,1795,0,1.0,400.0,apartment,laundry in bldg,street parking,no,no,no,REMODELED Studio 16th/Valencia Heart of Mission Blocks to Dolores Park,"REMODELED Studio 16th/Valencia Heart of Mission District Blocks to Dolores ParkProperty Address572 Valencia St. - 201 | San Francisco, CA 94110  Available: NowOffered ByBay Property Group |  show contact infoDescription    **PLEASE CONTACT US TO SCHEDULE A VIEWING**REMODELED Studio @ 16th/Valencia Heart of Mission District Blocks to Dolores ParkThis sunny REMODELED Mission Studio apartment with new floors, new paint and remodeled kitchen has a new home look and feel with classic molding and trim throughout.REMODELED kitchenNEW AppliancesNEW cabinetryNEW FloorsNEW Stone countersUPDATED BathNEW floors throughoutNEW paint throughoutOriginal moldingHeart of Mission, with short walks to Valencia Street, Dolores Park, Castro, Noe Valley, and more, offering world-class shopping, dining, and entertainment.0 Blocks Heart of Mission3 Blocks from Mission Dolores Park5 Blocks from Heart of Castro DistrictWalkScore *!! 100 !!*https://www.walkscore.com/score/576-valencia-st-san-francisco-ca-94110Pets NegotiableBART1 Blocks 16th St. BART8 Blocks 24th St BARTMUNIJ Church MUNI Streetcar 3 Blocks14 MUNI Bus 1 Block49 MUNI Bus 1 Block33 Ashbury 1 b\Block55 Felton 1 Block5 Blocks 24 MUNI BusOwner pays water/trash. Tenant all other utilitiesAddress: 576 Valencia St. San Francisco, CA 94110Cross Street: 16th St.Please view our additional listings at: http://baypropertygroup.com/vacancies  AmenitiesWater and Garbage IncludedDetailsBeds/Baths: 1.0BASquare Feet: 400Rental TermsRent: $1,795.00     Available: Now    Application Fee: $35.00    Security Deposit: $2,200.00   ",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-remodeled-studio-16th/7331978039.html
15,2021-06-04 18:36:00,Lower Pac Hts,4000,3,1.0,,apartment,laundry in bldg,no parking,no,no,no,3 BR Apartment in Pacific Heights! Excellent Location,"Available now!3 Bedroom 1 Bathroom apartment in the heart of Pac HeightsOn California Street and Divisadero, close to shopping district and MUNICall Joyce at  show contact info to schedule an appointment!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-br-apartment-in-pacific/7331977435.html
16,2021-06-04 18:36:00,Richmond / Seacliff,3500,3,1.0,,apartment,laundry in bldg,street parking,no,no,no,3BD 1BA Apartment in Richmond District,Available now!3 bedroom 1 bathroom apartment in Richmond district. Great area--walkable to takeout restaurants on Balboa. Easy street parking. Call Joyce at  show contact info to schedule a viewing    ,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-3bd-1ba-apartment-in/7331977363.html
17,2021-06-04 18:32:00,San Francisco,2000,1,1.0,779.0,apartment,w/d in unit,attached garage,yes,yes,yes,Residence 504 at 199 New Montgomery is a large one bedroom,"Residence 504 at 199 New Montgomery is a large one bedroom urban home that enjoys both an extra large space that can be used for a dedicated office and has access to a common roof deck outdoor space. The over-sized picture windows frame outlooks to Montgomery Street and downtown beyond. The open concept residence has wood flooring throughout, granite counters and fresh paint. 199 New has recently re-designed their sophisticated lobby and common areas. The amenities include: 24/7 lobby ambassadors, bike parking and a furnished roof deck with 360 degree views, two BBQs and a fire pit. Live in the heart of San Francisco's Yerba Buena Cultural District. Walk everywhere from this five-star location: the Financial District, Union Square, MoMA, Oracle Park, the new Transbay Transit Center and Park, Yerba Buena Gardens, Michelan rated restaurants, outdoor dining,The Embarcadero, mass transit and CalTrain. Walk Score=94. Transit Score=99. Live It Up in San Francisco's most vibrant neighborhood.    ",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-residence-504-at-199-new/7331965181.html
18,2021-06-04 18:24:00,SOMA / South Beach,2995,2,1.0,920.0,apartment,laundry in bldg,street parking,yes,yes,no,"LARGE, BRIGHT, FULLY RENOVATED 2 Bedroom In The Heart Of SOMA","LARGE, BRIGHT, FULLY RENOVATED 2 Bedroom In The Heart Of SOMAProperty Address93 Stillman | San Francisco, CA 94107  Available: NowOffered BySutro Property Management Inc. |  show contact infoDescription    Located in the vibrant SOMA neighborhood, just off of 3rd Street, this 2 bedroom is on the second floor of a 3 story building. The newly renovated unit has beautiful hardwood floors throughout both bedrooms and the living room. This unit offers plenty of natural light and closet space.ADDITIONAL AMENITIES• Stunning Bay Windows In The Living Room• Stainless Steel Appliance Package (Dishwasher Included!)• Beautiful Kitchen Tiled Backsplash• Granite Counters• Tiled Floor in Kitchen and Bathroom• Beautiful Hardwood Floors• Extra Closet SpaceADDITIONAL DETAILSBedrooms: 2Bathrooms: 1Pets Allowed: Cats and small dogs allowedUtilities Included: Water and GarbageAvailable ISP: Xfinity/ComcastParking: No ParkingLaundry: On-siteNon-smoking rentalClick to view a 360 tour: https://my.matterport.com/show/?m=55CKJ9rD3tbNEIGHBORHOODThe location is conveniently located for commuters. It is a short distance to downtown SF, Moscone Center, and CalTrain. HW 101 and HW 280 are both very close by. BART and MUNI trains at Market St are also within walking distance. Other neighborhood amenities include South Park, Yuerba Buena Gardens, South Beach Park, AT&T Park, several restaurants, pubs, coffee shops, dry cleaners, Whole Foods, Safeway.AVAILABILITYAvailable now. Please call or email to schedule a showing.CONTACTRob:  show contact infoCA DRE #01469292Sutro Property ManagementCA DRE #01482409See more listings: https://sutroproperties.com/available-properties/Equal Housing Opportunity. Rentals listings subject to change at any time. All data subject to errors, omissions, or revisions and is not warranted. Please carefully review all information.  AmenitiesStainless AppliancesDishwasherBay WindowsLaundry On-siteExtra Closet SpaceHardwood FloorsTile BacksplashHigh CeilingsDetailsBeds/Baths: 2BD/1.0BASquare Feet: 920Rental TermsRent: $2,995.00     Available: Now    Application Fee: $40.00  Pet PolicyCats allowedSmall dogs allowed",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-large-bright-fully/7329978245.html
19,2021-06-04 18:24:00,Haight Ashbury,4495,4,1.0,1150.0,apartment,w/d in unit,street parking,yes,yes,no,"REDUCED PRICE! FULL FLOOR FLAT, Outdoor deck, in-unit W/D, Dishwasher","REDUCED PRICE! HUGE FULL FLOOR FLAT, Outdoor deck, in-unit W/D, Dishwasher, FULL REMODELProperty Address1789 Haight St. | San Francisco, CA 94117  Available: NowOffered BySutro Property Management Inc. |  show contact infoDescription    Beautiful, large, recently remodeled full floor flat! This 4 bedroom flat features high ceilings and lots of closet space throughout. Hardwood floors run the length of the unit. Lots of natural light from the oversized windows. Eat-in kitchen and an outdoor deck. Great space for people working from home or schooling from home.ADDITIONAL AMENITIES• Renovated kitchen and bathroom• Stainless appliances (refrigerator, oven/stove, hood fan, dishwasher)• Dishwasher• In-unit washer/dryer• Hardwood floors• Outdoor deck• Bay WindowsADDITIONAL DETAILSBedrooms: 4Bathrooms: 1Pets Allowed: Cats and small dogs allowedUtilities Included: NoneAvailable ISP: XfinityParking: StreetLaundry: In-unitNon-smoking rentalClick to view a virtual tour: https://my.matterport.com/show/?m=peNwyMiozSfClick to view a 360 tour: https://view.ricohtours.com/6d45272a-345c-4072-a46d-aefe03e22070Click to view a video walkthrough: https://youtu.be/5DHWVWax-0INEIGHBORHOODIn the heart of the historic Haight-Ashbury neighborhood, you are steps away from the best dining, shopping and nightlife the city has to offer. Close to Whole Foods, as well as boutique shopping, restaurants, and bars. Additionally it is one block from Golden Gate Park. Enjoy all the park has to offer with museums and attractions. It is also close to USF and UCSF as well.Located near numerous muni lines (7, 33, 43) that will take you to locations all over the city including the Downtown and The Sunset & Inner Richmond.AVAILABILITYAvailable now. Please call or email to schedule a showing.CONTACTSutro Property Management:  show contact infoSutro Property ManagementCA DRE #01482409See more listings: https://sutroproperties.com/available-properties/Equal Housing Opportunity. Rentals listings subject to change at any time. All data subject to errors, omissions, or revisions and is not warranted. Please carefully review all information.  AmenitiesDishwasherHardwood FloorsIn Unit Washer/DryerPatio/BalconyTile BacksplashFull Floor FlatCentral HeatingStainless AppliancesBay WindowsDetailsBeds/Baths: 4BD/1.0BASquare Feet: 1,150Rental TermsRent: $4,495.00     Available: Now  Pet PolicyCats allowedSmall dogs allowed",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-reduced-price-full-floor/7329978306.html
20,2021-06-04 18:24:00,Marina / Cow Hollow,1845,0,1.0,450.0,apartment,laundry on site,street parking,yes,yes,no,LOWERED PRICE! SUNNY Studio! Great Location! Laundry on-site!!,"REDUCED PRICE! HUGE FULL FLOOR FLAT, Outdoor deck, in-unit W/D, Dishwasher, FULL REMODELProperty Address1789 Haight St. | San Francisco, CA 94117  Available: NowOffered BySutro Property Management Inc. |  show contact infoDescription    Beautiful, large, recently remodeled full floor flat! This 4 bedroom flat features high ceilings and lots of closet space throughout. Hardwood floors run the length of the unit. Lots of natural light from the oversized windows. Eat-in kitchen and an outdoor deck. Great space for people working from home or schooling from home.ADDITIONAL AMENITIES• Renovated kitchen and bathroom• Stainless appliances (refrigerator, oven/stove, hood fan, dishwasher)• Dishwasher• In-unit washer/dryer• Hardwood floors• Outdoor deck• Bay WindowsADDITIONAL DETAILSBedrooms: 4Bathrooms: 1Pets Allowed: Cats and small dogs allowedUtilities Included: NoneAvailable ISP: XfinityParking: StreetLaundry: In-unitNon-smoking rentalClick to view a virtual tour: https://my.matterport.com/show/?m=peNwyMiozSfClick to view a 360 tour: https://view.ricohtours.com/6d45272a-345c-4072-a46d-aefe03e22070Click to view a video walkthrough: https://youtu.be/5DHWVWax-0INEIGHBORHOODIn the heart of the historic Haight-Ashbury neighborhood, you are steps away from the best dining, shopping and nightlife the city has to offer. Close to Whole Foods, as well as boutique shopping, restaurants, and bars. Additionally it is one block from Golden Gate Park. Enjoy all the park has to offer with museums and attractions. It is also close to USF and UCSF as well.Located near numerous muni lines (7, 33, 43) that will take you to locations all over the city including the Downtown and The Sunset & Inner Richmond.AVAILABILITYAvailable now. Please call or email to schedule a showing.CONTACTSutro Property Management:  show contact infoSutro Property ManagementCA DRE #01482409See more listings: https://sutroproperties.com/available-properties/Equal Housing Opportunity. Rentals listings subject to change at any time. All data subject to errors, omissions, or revisions and is not warranted. Please carefully review all information.  AmenitiesDishwasherHardwood FloorsIn Unit Washer/DryerPatio/BalconyTile BacksplashFull Floor FlatCentral HeatingStainless AppliancesBay WindowsDetailsBeds/Baths: 4BD/1.0BASquare Feet: 1,150Rental TermsRent: $4,495.00     Available: Now  Pet PolicyCats allowedSmall dogs allowed",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-lowered-price-sunny/7329978395.html
